source_domain,source_url,source_title,anchor_text,broken_url,broken_domain,status,follow_status,link_type,final_domain
htcs.org.uk,https://htcs.org.uk/useful-links,» Useful Links,Sparx Maths,https://auth.sparxmaths.uk/oauth2/auth?client_id=sparx-maths-sw&amp;hd=2e210313-fce2-4d29-98d8-54cbe27d0488&amp;redirect_uri=https%3A%2F%2Fstudentapi.api.sparxmaths.uk%2Foauth%2Fcallback&amp;response_type=code&amp;scope=openid+profile+email&amp;state=v62GVoBoqPsGQ4kViavx063Hkx-jSBaVRT4GBT43e3BQZvk0j1h7NZdXvPLouylwOmXjC7vTO-spBtQtakaY-EkErO57cik5tYcv7FAMe-Rgu6yvS6bu76g19ERfSvJCmLgY55YF8TOiSbVRbwv6DhZmA00FaGQjd8c0N1oyicCtXbTt_j2vv-CizlYRH9pvHzRrZxC0zM5c3GKVrzQC7ps4O8Ri-0Aj7pplI8J13MkAsdZOewFFd_KgeJZzdwIbIGhAcq4X_paLXgaOS3A%3D,sparxmaths.uk,403,dofollow,broken,sparx-learning.com
htcs.org.uk,https://htcs.org.uk/useful-links,» Useful Links,Sparx Reader,https://auth.sparx-learning.com/oauth2/auth?client_id=sparx-learning&amp;hd=2e210313-fce2-4d29-98d8-54cbe27d0488&amp;p=2&amp;redirect_uri=https%3A%2F%2Fapi.sparx-learning.com%2Foauth2%2Fcallback%2Fsparx&amp;response_type=code&amp;scope=openid+profile+email&amp;state=0C3mMUDZ68hZlM6bjps7TYJ_a0cR0SlOAH14XQQ3Yp0_Px_xKByc83Rm7yqcN8ct6AhStilFPwi7JKKHDhLAWZ9d-y_ixwR_vYhjvezCoMBP2Av1mvtWzdX-0axZ5vgaTz_z7CYeepSedgg0JuOUfPYMvViHtW9HBLIA3VgPZT1RVXmx8lcmUfnhNl-RA7S3zT01YnQfSlgtI1lsbwcl7D60Oo7gWMVyucqLlatZJuMoO-5Ena1hFL3IMMjJ4gSUhPk-hhmozcmjxJHP&amp;ts=1757581759,sparx-learning.com,403,dofollow,broken,sparx-learning.com
htcs.org.uk,https://htcs.org.uk/useful-links,» Useful Links,Sparx Science,https://auth.sparx-learning.com/oauth2/auth?client_id=sparx-learning&amp;hd=2e210313-fce2-4d29-98d8-54cbe27d0488&amp;p=3&amp;redirect_uri=https%3A%2F%2Fapi.sparx-learning.com%2Foauth2%2Fcallback%2Fsparx&amp;response_type=code&amp;scope=openid+profile+email&amp;state=qIV2vUjW5ADuj31NVdDMJqvJfDOZP6k8cSC9f1h-qNn6de7LyjxiS9njN60UBadNh-PUQTCxy0NiNAq7gkVXJVnROJo3X9Pj2oBOp5Dx88JBRAanOXT-v5ESMf0x7vqJUai9hMjUaRquhW62Jb06jQG9R2wepLvGbdHvotAotOn2SVtXTaVNPm7qxLArEHf-WED6_YykP-VOmJaQuFO6F40wN-fyOt2omjLr4p49Dzd65d6Altjl_v4ViJt7KSetiIvcKfSf6aY2JhQuhw%3D%3D&amp;ts=1757581845,sparx-learning.com,403,dofollow,broken,sparx-learning.com
htcs.org.uk,https://htcs.org.uk/useful-links,» Useful Links,Healthier Together,https://www.nenc-healthiertogether.nhs.uk/,nhs.uk,403,dofollow,broken,nhs.uk
castlecaryfc.co.uk,https://www.castlecaryfc.co.uk/useful-links/,Useful Links,Uhlsport Somerset County League,http://fulltime-league.thefa.com/Index.do?league=3894227,thefa.com,This operation was aborted,dofollow,broken,thefa.com
hdjfl.co.uk,https://hdjfl.co.uk/our-league/useful-links/,Useful Links - Harrogate & District Junior Football League,,https://grassrootstechnology.freshdesk.com/support/solutions/folders/48000670910,freshdesk.com,fetch failed,nofollow,broken,freshdesk.com
hdjfl.co.uk,https://hdjfl.co.uk/our-league/useful-links/,Useful Links - Harrogate & District Junior Football League,,https://login.thefa.com/b2cthefa.onmicrosoft.com/b2c_1a_signup_signinmfaroles/oauth2/v2.0/authorize?client_id=94ec12b8-9670-487d-919b-da5e00512d5c&amp;scope=94ec12b8-9670-487d-919b-da5e00512d5c%20openid%20profile%20offline_access&amp;redirect_uri=https://clubs.thefa.com/&amp;client-request-id=0199e2e9-74b9-7f66-a572-066b9c161d86&amp;response_mode=fragment&amp;response_type=code&amp;x-client-SKU=msal.js.browser&amp;x-client-VER=3.14.0&amp;client_info=1&amp;code_challenge=Fm6G8qa5d8NkkG0bi1YeWFXeRcjwoB2Ncd41cQT2tU8&amp;code_challenge_method=S256&amp;nonce=0199e2e9-74bb-7cec-9284-7b71ec427172&amp;state=eyJpZCI6IjAxOTllMmU5LTc0YmEtNzVhZC04ZTc2LWFiNWEwMzQyNDQ5MiIsIm1ldGEiOnsiaW50ZXJhY3Rpb25UeXBlIjoicmVkaXJlY3QifX0=&amp;FAAppToken=CP,thefa.com,404,dofollow,broken,thefa.com
lutterworthhigh.co.uk,https://www.lutterworthhigh.co.uk/page/?title=Useful+Links&pid=98,Lutterworth High School - Useful Links,Examination Results,https://www.compare-school-performance.service.gov.uk/school/137115/lutterworth-high-school/secondary,service.gov.uk,403,dofollow,broken,service.gov.uk
htcs.org.uk,https://htcs.org.uk/useful-links,» Useful Links,National Online Safety,https://nationalonlinesafety.com/,nationalonlinesafety.com,redirect->nationalcollege.com,dofollow,redirected_same_topic,nationalcollege.com
amateur-fa.com,https://www.amateur-fa.com/clubs-and-leagues/development-resources,Development Resources,Full-Time,http://fulltime.thefa.com/,thefa.com,403,dofollow,broken,thefa.com
footballgpt.co,https://footballgpt.co/resources,Football Coaching Resources - Official Sources,"The Boot RoomFA&#x27;s coaching resource hub with sessions, videos, and guidance",https://www.thefa.com/bootroom,thefa.com,redirect->englandfootball.com,dofollow,redirected_unrelated_topic,englandfootball.com
amateur-fa.com,https://www.amateur-fa.com/clubs-and-leagues/development-resources,Development Resources,,https://wholegame.thefa.com/,thefa.com,fetch failed,dofollow,broken,thefa.com
footballgpt.co,https://footballgpt.co/resources,Football Coaching Resources - Official Sources,RFEF CoachingSpanish FA coaching education,https://www.rfef.es/formacion,rfef.es,403,dofollow,broken,rfef.es
amateur-fa.com,https://www.amateur-fa.com/clubs-and-leagues/development-resources,Development Resources,,https://www.discountfootballkits.com/,discountfootballkits.com,403,nofollow,broken,discountfootballkits.com
footballgpt.co,https://footballgpt.co/resources,Football Coaching Resources - Official Sources,CBF AcademyBrazilian Football Academy,https://www.cbf.com.br/cbf-academy,com.br,fetch failed,dofollow,broken,com.br
nottinghamshirefa.com,https://www.nottinghamshirefa.com/clubs-and-leagues/facilities-and-pitches/resources,Resources - Nottinghamshire FA,Full-Time,http://fulltime.thefa.com/,thefa.com,403,dofollow,broken,thefa.com
footballgpt.co,https://footballgpt.co/resources,Football Coaching Resources - Official Sources,Brazilian Football MethodologyBrazilian football development,https://www.cbf.com.br/futebol-brasileiro,com.br,fetch failed,dofollow,broken,com.br
footballgpt.co,https://footballgpt.co/resources,Football Coaching Resources - Official Sources,JFA AcademyJFA Academy youth development,https://www.jfa.jp/jfaacademy/,jfa.jp,404,dofollow,broken,jfa.jp
footballgpt.co,https://footballgpt.co/resources,Football Coaching Resources - Official Sources,Scottish FA Player PathwayScotland&#x27;s player development framework,https://www.scottishfa.co.uk/football-development/player-pathway/,scottishfa.co.uk,404,dofollow,broken,scottishfa.co.uk
footballgpt.co,https://footballgpt.co/resources,Football Coaching Resources - Official Sources,Football Australia CurriculumAustralia&#x27;s national coaching curriculum,https://www.footballaustralia.com.au/national-curriculum,com.au,404,dofollow,broken,com.au
footballgpt.co,https://footballgpt.co/resources,Football Coaching Resources - Official Sources,FAI Coaching (Ireland)Republic of Ireland coaching education,https://www.fai.ie/domestic/coaching,fai.ie,404,dofollow,broken,fai.ie
footballgpt.co,https://footballgpt.co/resources,Football Coaching Resources - Official Sources,Portuguese FA (FPF)Portugal&#x27;s technical development approach,https://www.fpf.pt/,fpf.pt,403,dofollow,broken,fpf.pt
footballgpt.co,https://footballgpt.co/resources,Football Coaching Resources - Official Sources,NSPCC CPSUChild Protection in Sport Unit,https://thecpsu.org.uk/,thecpsu.org.uk,redirect->nspcc.org.uk,dofollow,redirected_unrelated_topic,nspcc.org.uk
footballgpt.co,https://footballgpt.co/resources,Football Coaching Resources - Official Sources,BJSM (British Journal of Sports Medicine)Peer-reviewed sports medicine research,https://bjsm.bmj.com/,bmj.com,403,dofollow,broken,bmj.com
footballgpt.co,https://footballgpt.co/resources,Football Coaching Resources - Official Sources,NSCA (Strength &amp; Conditioning)National Strength and Conditioning Association,https://www.nsca.com/,nsca.com,403,dofollow,broken,nsca.com
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,"Download - We and AI Survey Document pdf, 1.02 MB",https://jrf-jrht-brand.frontify.com/api/asset/eyJjbGllbnRJZCI6ImNsaWVudC1tenFieWtsc2Z0ZHpoN3V3IiwiaWQiOjEwMDMyLCJ0aW1lc3RhbXAiOjE3MjA0MjgyMzUsInZlcnNpb24iOjE3MjAxOTE0NDh9:joseph-rowntree-foundation:IdVEs2xGj76XONELmnqH9UOijgHUPmM0BWVd2rJNBHI/download,frontify.com,404,dofollow,broken,frontify.com
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,"Consuming differently, consuming sustainably: Behavioural insights for policymaking",https://www.coursehero.com/file/209983806/GASCP-Consuming-Differently-Consuming-Sustainably-Behavioral-Insights-for-Policymakingpdf/,coursehero.com,403,dofollow,broken,coursehero.com
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,"Transparent AI disclosure obligations: Who, what, when, where, why, how",https://doi.org/10.1145/3613905.3650750,doi.org,403,dofollow,broken,acm.org
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,Tech workers’ perspectives on ethical issues in AI development: Foregrounding feminist approaches,https://journals.sagepub.com/doi/full/10.1177/20539517231221780,sagepub.com,403,dofollow,broken,sagepub.com
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,To what extent Is trust a prerequisite for charitable giving? A systematic review and meta-analysis,https://journals.sagepub.com/doi/full/10.1177/08997640211003250,sagepub.com,403,dofollow,broken,sagepub.com
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,Worldwide AI ethics: A review of 200 guidelines and recommendations for AI governance: Patterns,https://www.cell.com/patterns/fulltext/S2666-3899(23)00241-6?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2666389923002416%3Fshowall%3Dtrue#secsectitle0015,cell.com,403,dofollow,broken,cell.com
englandfootball.com,https://www.englandfootball.com/participate/leagues-and-clubs/helpful-apps-and-websites/matchday,Helpful apps & websites - Matchday,Full-Time,https://fulltime.thefa.com/home/index.html,thefa.com,403,dofollow,broken,thefa.com
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,Philanthropy’s techno-solutionism problem,https://knightfoundation.org/philanthropys-techno-solutionism-problem/,knightfoundation.org,404,dofollow,broken,knightfoundation.org
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,From AI to digital transformation: The AI readiness framework,https://www.sciencedirect.com/science/article/pii/S0007681321000744,sciencedirect.com,403,dofollow,broken,sciencedirect.com
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,Disinformation researchers raise alarms about AI chatbots,https://www.nytimes.com/2023/02/08/technology/ai-chatbots-disinformation.html,nytimes.com,403,dofollow,broken,nytimes.com
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,ChatGPT sets record for fastest-growing user base - analyst note,https://www.reuters.com/technology/chatgpt-sets-record-fastest-growing-user-base-analyst-note-2023-02-01/,reuters.com,401,dofollow,broken,reuters.com
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,Productivity boost from generative AI could add £31 billion of GDP to the UK economy,https://kpmg.com/uk/en/home/media/press-releases/2023/06/productivity-boost-from-generative-ai.html,kpmg.com,404,dofollow,broken,kpmg.com
copthorneyouthfc.co.uk,https://copthorneyouthfc.co.uk/resources-and-courses,Resources and Courses,,https://www.zoom995.co.uk/,zoom995.co.uk,fetch failed,dofollow,broken,zoom995.co.uk
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,New AI usage data shows who’s using AI — and uncovers a population of ‘super-users’,https://www.salesforce.com/news/press-releases/2023/09/07/ai-usage-research/,salesforce.com,500,dofollow,broken,salesforce.com
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,Technological determinisms,https://opentextbooks.clemson.edu/sciencetechnologyandsociety/chapter/technological-determinism/,clemson.edu,403,dofollow,broken,clemson.edu
copthorneyouthfc.co.uk,https://copthorneyouthfc.co.uk/resources-and-courses,Resources and Courses,,https://www.akehurstgroup.com/,akehurstgroup.com,fetch failed,dofollow,broken,akehurstgroup.com
thefa.com,https://www.thefa.com/get-involved/player/clubs-and-leagues/support,Support for clubs and leagues during COVID-19,FA Charter Standard Kit Store,http://www.facharterstandard.co.uk/kitstore/,facharterstandard.co.uk,503,dofollow,broken,facharterstandard.co.uk
thefa.com,https://www.thefa.com/get-involved/player/clubs-and-leagues/support,Support for clubs and leagues during COVID-19,Tutor Stores,http://www.fatutorstore.com/,fatutorstore.com,403,dofollow,broken,fatutorstore.com
theucl.co.uk,https://theucl.co.uk/2021/05/06/england-football-launch/,England Football Launch,IOS,https://apps.apple.com/bj/app/united-counties-league/id997689608,apple.com,404,dofollow,broken,apple.com
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,End of year stats,https://www.trusselltrust.org/news-and-blog/latest-stats/end-year-stats/,trusselltrust.org,redirect->trussell.org.uk,dofollow,redirected_unrelated_topic,trussell.org.uk
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,Illustration by Emily Rand,https://www.emilyrand.com/,emilyrand.com,fetch failed,dofollow,broken,emilyrand.com
jrf.org.uk,https://www.jrf.org.uk/power-and-participation/grassroots-and-non-profit-perspectives-on-generative-ai,Grassroots and non-profit perspectives on generative AI,BlueSky Social,https://bsky.app/profile/jrf-uk.bsky.social,bsky.app,404,dofollow,broken,bsky.app
dudley.sch.uk,https://www.summerhill.dudley.sch.uk/Page/Detail/useful-links,Useful Links,RM Unify,https://summerhilldudley.rmunify.com/,rmunify.com,500,dofollow,broken,rmunify.com
dudley.sch.uk,https://www.summerhill.dudley.sch.uk/Page/Detail/useful-links,Useful Links,Schools Financial Benchmarking Service,https://schools-financial-benchmarking.service.gov.uk/school/detail?urn=103854,service.gov.uk,redirect->education.gov.uk,dofollow,redirected_unrelated_topic,education.gov.uk
dudley.sch.uk,https://www.summerhill.dudley.sch.uk/Page/Detail/useful-links,Useful Links,Careers Expo,https://yet2decide.co.uk/,yet2decide.co.uk,fetch failed,dofollow,broken,yet2decide.co.uk
dudley.sch.uk,https://www.summerhill.dudley.sch.uk/Page/Detail/useful-links,Useful Links,Connexions Dudley,http://www.connexionsdudley.org/,connexionsdudley.org,redirect->adobsikabgresik.org,dofollow,redirected_unrelated_topic,adobsikabgresik.org
dudley.sch.uk,https://www.summerhill.dudley.sch.uk/Page/Detail/useful-links,Useful Links,Career Camel,http://www.careercamel.com/,careercamel.com,redirect->quotegoat.com,dofollow,redirected_unrelated_topic,quotegoat.com
dudley.sch.uk,https://www.summerhill.dudley.sch.uk/Page/Detail/useful-links,Useful Links,,https://itunes.apple.com/us/app/school-life/id1066342675?ls=1&mt=8,apple.com,404,dofollow,broken,apple.com
hoddesdontownfc.co.uk,https://www.hoddesdontownfc.co.uk/news/the-love-of-the-game-what-grassroots-football-really-gives-us-2992966.html,THE LOVE OF THE GAME: WHAT GRASSROOTS ...,,https://mcp.community/,mcp.community,fetch failed,dofollow,broken,mcp.community
hoddesdontownfc.co.uk,https://www.hoddesdontownfc.co.uk/news/the-love-of-the-game-what-grassroots-football-really-gives-us-2992966.html,THE LOVE OF THE GAME: WHAT GRASSROOTS ...,,https://georges-hairdressers.business.site/,business.site,404,dofollow,broken,business.site
hoddesdontownfc.co.uk,https://www.hoddesdontownfc.co.uk/news/the-love-of-the-game-what-grassroots-football-really-gives-us-2992966.html,THE LOVE OF THE GAME: WHAT GRASSROOTS ...,,https://mcdrainagesolutionsltd.co.uk/,mcdrainagesolutionsltd.co.uk,fetch failed,dofollow,broken,mcdrainagesolutionsltd.co.uk
hoddesdontownfc.co.uk,https://www.hoddesdontownfc.co.uk/news/the-love-of-the-game-what-grassroots-football-really-gives-us-2992966.html,THE LOVE OF THE GAME: WHAT GRASSROOTS ...,,http://www.thefa.com/RESPECT,thefa.com,redirect->englandfootball.com,dofollow,redirected_unrelated_topic,englandfootball.com
hoddesdontownfc.co.uk,https://www.hoddesdontownfc.co.uk/news/the-love-of-the-game-what-grassroots-football-really-gives-us-2992966.html,THE LOVE OF THE GAME: WHAT GRASSROOTS ...,,http://www.thefa.com/my-football/football-volunteers/Runningaclub/Runningaclub/CharterStandard,thefa.com,redirect->englandfootball.com,dofollow,redirected_unrelated_topic,englandfootball.com
hoddesdontownfc.co.uk,https://www.hoddesdontownfc.co.uk/news/the-love-of-the-game-what-grassroots-football-really-gives-us-2992966.html,THE LOVE OF THE GAME: WHAT GRASSROOTS ...,,http://www.thefa.com/get-involved/player/the-fa-charter-standard,thefa.com,redirect->englandfootball.com,dofollow,redirected_unrelated_topic,englandfootball.com
thefa.com,https://www.thefa.com/get-involved/player/clubs-and-leagues/support,Support for clubs and leagues during COVID-19,Young Referees,http://yrdp.fareferees.com/,fareferees.com,This operation was aborted,dofollow,broken,fareferees.com
theucl.co.uk,https://theucl.co.uk/2021/05/06/england-football-launch/,England Football Launch,Full Time,http://fulltime-league.thefa.com/Index.do?league=1625657,thefa.com,This operation was aborted,dofollow,broken,thefa.com
strfc.co.uk,https://www.strfc.co.uk/news/grassroots-football-suspended-2522941.html,Grassroots Football Suspended,,https://propacod.co.uk/,propacod.co.uk,403,dofollow,broken,propacod.co.uk
sportsmedialgbt.com,https://sportsmedialgbt.com/homophobia-grassroots-football-england-anti-lgbtq-discrimination-2024-25,Homophobia offences continue to rise in grassroots football,By Sports Media LGBT+,https://bsky.app/profile/sportsmedialgbt.com,bsky.app,404,dofollow,broken,bsky.app
thefa.com,https://www.thefa.com/get-involved/player/clubs-and-leagues/support,Support for clubs and leagues during COVID-19,Experiences by Wembley Stadium,http://www.clubwembley.com/,clubwembley.com,redirect->wembleystadium.com,dofollow,redirected_unrelated_topic,wembleystadium.com
northridingfa.com,https://www.northridingfa.com/safeguarding-and-welfare/play-phase-safeguarding/heading-in-u7-u9-football,Heading in U7-U9 Football,Club Portal,https://login.thefa.com/b2cthefa.onmicrosoft.com/b2c_1a_signup_signin_plyreg/oauth2/v2.0/authorize?client_id=94ec12b8-9670-487d-919b-da5e00512d5c&amp;scope=94ec12b8-9670-487d-919b-da5e00512d5c%20openid%20profile%20offline_access&amp;redirect_uri=https%3A%2F%2Fclubs.thefa.com%2F&amp;client-request-id=a400d846-d07c-40ae-9648-42073037b2f1&amp;response_mode=fragment&amp;response_type=code&amp;x-client-SKU=msal.js.browser&amp;x-client-VER=2.22.0&amp;client_info=1&amp;code_challenge=9E84_jo-TOtE7HOloNJX9UK8M-WfxDaxTYw4Kt8IOH8&amp;code_challenge_method=S256&amp;nonce=97d6779c-9302-46a9-b86f-aa438718179d&amp;state=eyJpZCI6IjRjMTBiM2UwLTRiZDMtNDhiMy05YzI5LTFkNjYwZWEyODZlMiIsIm1ldGEiOnsiaW50ZXJhY3Rpb25UeXBlIjoicmVkaXJlY3QifX0%3D&amp;FAAppToken=CP,thefa.com,404,dofollow,broken,thefa.com
northridingfa.com,https://www.northridingfa.com/safeguarding-and-welfare/play-phase-safeguarding/heading-in-u7-u9-football,Heading in U7-U9 Football,Full-Time,http://fulltime.thefa.com/,thefa.com,403,dofollow,broken,thefa.com
strfc.co.uk,https://www.strfc.co.uk/news/grassroots-football-suspended-2522941.html,Grassroots Football Suspended,,http://www.thefa.com/RESPECT,thefa.com,redirect->englandfootball.com,dofollow,redirected_unrelated_topic,englandfootball.com
strfc.co.uk,https://www.strfc.co.uk/news/grassroots-football-suspended-2522941.html,Grassroots Football Suspended,,http://www.thefa.com/get-involved/player/the-fa-charter-standard,thefa.com,redirect->englandfootball.com,dofollow,redirected_unrelated_topic,englandfootball.com
northridingfa.com,https://www.northridingfa.com/safeguarding-and-welfare/play-phase-safeguarding/heading-in-u7-u9-football,Heading in U7-U9 Football,Whole Game,https://wholegame.thefa.com/,thefa.com,fetch failed,dofollow,broken,thefa.com
strfc.co.uk,https://www.strfc.co.uk/news/grassroots-football-suspended-2522941.html,Grassroots Football Suspended,,https://www.englandfootball.com/play/youth-football/weetabix-wildcats?gclid=Cj0KCQjw06-oBhC6ARIsAGuzdw3NiJu18wq0nJljSenQYuzgQd6jYihd-ele9Te7a1qEXjBI1LhGFPgaAmF0EALw_wcB,englandfootball.com,404,dofollow,broken,englandfootball.com
cambournetownfc.org.uk,https://www.cambournetownfc.org.uk/news/weve-been-awarded-cambs-grassroots-club-of-the-year-2787445.html,We've been awarded Cambs Grassroots club of the year!,,http://www.springboard.pro/,springboard.pro,redirect->sanner-group.com,dofollow,redirected_unrelated_topic,sanner-group.com
barnsleywomensfc.org,https://www.barnsleywomensfc.org/teams/263977/match-centre/0-5514520,2 Grassroots sports : Barnsley Women U13s,,http://www.globeholidays.co.uk/,globeholidays.co.uk,404,dofollow,broken,globeholidays.co.uk
cambournetownfc.org.uk,https://www.cambournetownfc.org.uk/news/weve-been-awarded-cambs-grassroots-club-of-the-year-2787445.html,We've been awarded Cambs Grassroots club of the year!,,https://www.baronscambridgemini.co.uk/,baronscambridgemini.co.uk,redirect->group1cambridgemini.co.uk,dofollow,redirected_unrelated_topic,group1cambridgemini.co.uk
cambournetownfc.org.uk,https://www.cambournetownfc.org.uk/news/weve-been-awarded-cambs-grassroots-club-of-the-year-2787445.html,We've been awarded Cambs Grassroots club of the year!,,http://www.strattonmarch.com/,strattonmarch.com,fetch failed,dofollow,broken,strattonmarch.com
barnsleywomensfc.org,https://www.barnsleywomensfc.org/teams/263977/match-centre/0-5514520,2 Grassroots sports : Barnsley Women U13s,,http://www.thefa.com/RESPECT,thefa.com,redirect->englandfootball.com,dofollow,redirected_unrelated_topic,englandfootball.com
barnsleywomensfc.org,https://www.barnsleywomensfc.org/teams/263977/match-centre/0-5514520,2 Grassroots sports : Barnsley Women U13s,,http://www.shgcl.co.uk/,shgcl.co.uk,redirect->shwgl.co.uk,dofollow,redirected_same_topic,shwgl.co.uk
cambournetownfc.org.uk,https://www.cambournetownfc.org.uk/news/weve-been-awarded-cambs-grassroots-club-of-the-year-2787445.html,We've been awarded Cambs Grassroots club of the year!,,https://www.littleaqua.co.uk/,littleaqua.co.uk,fetch failed,dofollow,broken,littleaqua.co.uk
