opportunity_score,broken_url,broken_domain,old_resource_topic,total_referring_domains,quality_referring_domains,strongest_referring_domain,strongest_linking_url,follow_status,UK_relevance,football_relevance,existing_football_parent_url,replacement_quality,new_article_required,acquisition_candidate,recommended_action
19,https://grassrootstechnology.freshdesk.com/support/solutions/articles/48000979384-downloading-squad-lists,freshdesk.com, support solutions articles 48000979384 downloading squad lists,13,13,leaguesystem.co.uk,https://swrwfl.co.uk/index.php,mostly_dofollow,yes,low,https://www.footballparent.co.uk/academy-pathway/understanding-academy-release,new_article_opportunity,yes,no,Create replacement article then outreach
19,https://grassrootstechnology.freshdesk.com/support/solutions/folders/48000670910,freshdesk.com, support solutions folders 48000670910,15,15,leaguesystem.co.uk,https://swrwfl.co.uk/index.php,mostly_dofollow,yes,low,https://www.footballparent.co.uk/academy-pathway/understanding-academy-release,new_article_opportunity,yes,no,Create replacement article then outreach
19,https://yet2decide.co.uk/,yet2decide.co.uk,Careers Expo -  ,125,125,sch.life,https://www.summerhill.dudley.sch.uk/,mostly_dofollow,yes,low,,new_article_opportunity,yes,manual_check,Create replacement article then outreach
19,http://www.connexionsdudley.org/,connexionsdudley.org,Connexions Dudley -  ,18,18,halesbury.dudley.sch.uk,https://www.halesbury.dudley.sch.uk/whats-happening/school-calendar/2026/November,mostly_dofollow,yes,low,,new_article_opportunity,yes,yes,Investigate both acquisition and broken-link outreach
19,http://www.careercamel.com/,careercamel.com,Career Camel -  ,31,31,onrec.com,https://www.onrec.com/directory/job-boards/career-camel,mostly_dofollow,yes,low,,new_article_opportunity,yes,yes,Investigate both acquisition and broken-link outreach
19,https://itunes.apple.com/us/app/school-life/id1066342675?ls=1&mt=8,apple.com, us app school life id1066342675,107,107,sch.life,https://support.sch.life/Page/Blog,mostly_dofollow,yes,low,https://www.footballparent.co.uk/coaching/football-team-spreadsheet,new_article_opportunity,yes,no,Create replacement article then outreach
19,https://thebootroom.thefa.com/learning/qualifications/introduction-to-coaching-football,thefa.com,FA Introduction to Coaching Football https://thebootroom.thefa.com/learning/qualifications/introduction-to-coaching-football Link -  learning qualifications introduction to coaching football,59,59,middlesexfa.com,https://www.middlesexfa.com/,mostly_dofollow,yes,low,https://www.footballparent.co.uk/coaching/what-qualifications-do-i-need-to-be-a-football-coach,new_article_opportunity,yes,yes,Investigate both acquisition and broken-link outreach
19,http://www.scottishfa.co.uk/,scottishfa.co.uk,http://www.scottishfa.co.uk/ -  ,712,712,highlandfootballleague.com,https://www.highlandfootballleague.com/LeagueTable/,mostly_dofollow,yes,low,,new_article_opportunity,yes,no,Create replacement article then outreach
19,https://www.youngstonewall.org.uk/,youngstonewall.org.uk,https://www.youngstonewall.org.uk/ -  ,109,109,doncaster.gov.uk,https://boutique-lgbtqia.fr/mois-de-lhistoire-lgbt/,mostly_dofollow,yes,low,,new_article_opportunity,yes,no,Create replacement article then outreach
19,https://www.englandfootball.com/explore/inclusive-football/Respect,englandfootball.com,https://www.englandfootball.com/explore/inclusive-football/Respect -  explore inclusive football Respect,76,76,southernamateurleague.co.uk,https://bourtonroversfootball.com/new-page-2,mostly_dofollow,yes,low,,new_article_opportunity,yes,no,Create replacement article then outreach
19,https://home.barclays/who-we-are/sponsorship/Barclays-Community-Football-Fund/,home.barclays,https://home.barclays/who-we-are/sponsorship/Barclays-Community-Football-Fund/ -  who we are sponsorship Barclays Community Football Fund ,21,21,blantyreceltic.com,https://www.lemonadereps.com/news/2022/9/15/papaya-films-and-dan-french-collaborates-with-barclays-for-the-community-football-fund,mostly_dofollow,yes,low,https://www.footballparent.co.uk/parent-guides/what-to-say-after-football-matches,new_article_opportunity,yes,no,Create replacement article then outreach
19,https://navca.org.uk/find-a-member-1,navca.org.uk,Community Voluntary Sector -  find a member 1,53,53,cvsbeds.org.uk,http://www.essexconnects.org.uk/,mostly_dofollow,yes,low,https://www.footballparent.co.uk/football-gear/best-footballs-by-age,new_article_opportunity,yes,no,Create replacement article then outreach
19,https://www.sportenglandclubmatters.com/,sportenglandclubmatters.com,Sport England Club Matters -  ,128,128,british-gymnastics.org,https://sites.google.com/ukultimate.com/ukuwelfarepack/home,mostly_dofollow,yes,low,https://www.footballparent.co.uk/academy-pathway/can-academy-players-play-grassroots-football,new_article_opportunity,yes,yes,Investigate both acquisition and broken-link outreach
19,https://thebootroom.thefa.com/learning/qualifications/introduction-to-first-aid-in-football,thefa.com,https://thebootroom.thefa.com/learning/qualifications/introduction-to-first-aid-in-football Link -  learning qualifications introduction to first aid in football,28,28,middlesexfa.com,https://www.middlesexfa.com/,mostly_dofollow,yes,low,https://www.footballparent.co.uk/coaching/what-qualifications-do-i-need-to-be-a-football-coach,new_article_opportunity,yes,yes,Investigate both acquisition and broken-link outreach
19,https://thebootroom.thefa.com/learning/qualifications/online-safeguarding-children-re-certification,thefa.com,https://thebootroom.thefa.com/learning/qualifications/online-safeguarding-children-re-certification Link -  learning qualifications online safeguarding children re certification,25,25,lancashirefa.com,https://help.lancashirefa.com/support/solutions/articles/76000057993-safeguarding-children-recertification-foc-,mostly_dofollow,yes,low,https://www.footballparent.co.uk/coaching/what-qualifications-do-i-need-to-be-a-football-coach,new_article_opportunity,yes,yes,Investigate both acquisition and broken-link outreach
19,https://thebootroom.thefa.com/learning/qualifications,thefa.com,https://thebootroom.thefa.com/learning/qualifications -  learning qualifications,22,22,searchlabz.com,https://searchlabz.com/thisfootballcoachcourses/,mostly_dofollow,yes,low,https://www.footballparent.co.uk/coaching/what-qualifications-do-i-need-to-be-a-football-coach,new_article_opportunity,yes,yes,Investigate both acquisition and broken-link outreach
19,http://www.thefa.com/get-involved/respect/we-only-do-positive,thefa.com,FA We Only Do Positive Campaign -  get involved respect we only do positive,10,10,jfa.jp,http://www.nunthorpejfc.co.uk/child-welfare.html,mostly_dofollow,yes,low,https://www.footballparent.co.uk/academy-pathway/how-to-join-a-football-academy,new_article_opportunity,yes,yes,Investigate both acquisition and broken-link outreach
19,http://www.bbc.co.uk/bitesize/ks1/maths/,bbc.co.uk,http://www.bbc.co.uk/bitesize/ks1/maths/ -  bitesize ks1 maths ,359,359,leckaunns.blogspot.com,https://iundervisning.dk/www-bbc-co-uk-matematik/,mostly_dofollow,yes,low,,new_article_opportunity,yes,no,Create replacement article then outreach
19,http://www.bbc.co.uk/bitesize/ks2/maths,bbc.co.uk,http://www.bbc.co.uk/bitesize/ks2/maths -  bitesize ks2 maths,33,33,room6pukehb2015.blogspot.com,https://www.tattenhallpark.cheshire.sch.uk/page/helpful-websites/38202,mostly_dofollow,yes,low,,new_article_opportunity,yes,no,Create replacement article then outreach
19,http://www.primaryhomeworkhelp.co.uk/,primaryhomeworkhelp.co.uk,http://www.primaryhomeworkhelp.co.uk/ -  ,550,550,shawhill.bham.sch.uk,https://www.charltonmanorprimary.co.uk/,mostly_dofollow,yes,low,,new_article_opportunity,yes,manual_check,Create replacement article then outreach
19,https://primarystarseducation.co.uk/covid-19-year-1/,primarystarseducation.co.uk,Primary Stars -  covid 19 year 1 ,14,14,lozells.bham.sch.uk,https://www.st-philipneri.notts.sch.uk/curriculum/remote-learning/,mostly_dofollow,yes,low,https://www.footballparent.co.uk/coaching/football-drills-for-7-and-8-year-olds,new_article_opportunity,yes,no,Create replacement article then outreach
19,https://opencheck.atomwide.com/default.aspx,atomwide.com, default.aspx,98,98,rgreeninf.brent.sch.uk,https://www.rebeccacheetham.newham.sch.uk/,mostly_dofollow,yes,low,,new_article_opportunity,yes,no,Create replacement article then outreach
19,https://www.jobcentrenearme.com/,jobcentrenearme.com,https://www.jobcentrenearme.com/ -  ,242,242,curwen.newham.sch.uk,https://www.whittingtonparishcouncil.org/directory/job-centre-near-me,mostly_dofollow,yes,low,,new_article_opportunity,yes,yes,Investigate both acquisition and broken-link outreach
19,https://www.ceop.police.uk/Ceop-Report/,police.uk, Ceop Report ,146,146,hallcrossacademy.co.uk,https://www.rebeccacheetham.newham.sch.uk/,mostly_dofollow,yes,low,,new_article_opportunity,yes,no,Create replacement article then outreach
18,https://bsky.app/profile/jrf-uk.bsky.social,bsky.app,BlueSky Social -  profile jrf uk.bsky.social,6,6,jrf.org.uk,https://www.jrf.org.uk/,mostly_dofollow,yes,low,,new_article_opportunity,yes,no,Create replacement article then outreach
18,http://www.bristolrovers.co.uk/page/Welcome,bristolrovers.co.uk,http://www.bristolrovers.co.uk/page/Welcome -  page Welcome,7,7,forevertheposh.blogspot.com,https://www.bbc.com/news/uk-england-bristol-13670654,mostly_dofollow,yes,low,,new_article_opportunity,yes,no,Create replacement article then outreach
17,https://lpoolcouncil.bsky.social/,bsky.social,Bluesky -  ,3,3,liverpool.gov.uk,https://liverpool.gov.uk/,mostly_dofollow,yes,low,,new_article_opportunity,yes,no,Create replacement article then outreach
17,https://www.stayalive.app/find-help-now/urgent-support/,stayalive.app,Need urgent help? -  find help now urgent support ,3,3,prevent-suicide.org.uk,https://prevent-suicide.org.uk/stay-alive-app-grassroots-suicide-prevention/,mostly_dofollow,yes,low,https://www.footballparent.co.uk/coaching/what-qualifications-do-i-need-to-be-a-football-coach,new_article_opportunity,yes,yes,Investigate both acquisition and broken-link outreach
16,https://www.cbf.com.br/cbf-academy,com.br,CBF AcademyBrazilian Football Academy -  cbf academy,2,not_analysed (below threshold),,,mostly_dofollow,no,medium,https://www.footballparent.co.uk/girls-football/girls-academy-vs-grassroots-football,new_article_opportunity,yes,yes,Investigate domain acquisition
16,https://www.jfa.jp/jfaacademy/,jfa.jp,JFA AcademyJFA Academy youth development -  jfaacademy ,1,not_analysed (below threshold),,,mostly_dofollow,no,low,https://www.footballparent.co.uk/football-development/relative-age-effect-football,close_replacement,no,no,Ignore
16,https://jrf-jrht-brand.frontify.com/api/asset/eyJjbGllbnRJZCI6ImNsaWVudC1tenFieWtsc2Z0ZHpoN3V3IiwiaWQiOjEwMDMyLCJ0aW1lc3RhbXAiOjE3MjA0MjgyMzUsInZlcnNpb24iOjE3MjAxOTE0NDh9:joseph-rowntree-foundation:IdVEs2xGj76XONELmnqH9UOijgHUPmM0BWVd2rJNBHI/download,frontify.com,"Download - We and AI Survey Document pdf, 1.02 MB -  api asset eyJjbGllbnRJZCI6ImNsaWVudC1tenFieWtsc2Z0ZHpoN3V3IiwiaWQiOjEwMDMyLCJ0aW1lc3RhbXAiOjE3MjA0MjgyMzUsInZlcnNpb24iOjE3MjAxOTE0NDh9:joseph rownt",1,not_analysed (below threshold),,,mostly_dofollow,yes,low,https://www.footballparent.co.uk/academy-pathway/can-academy-players-play-grassroots-football,new_article_opportunity,yes,no,Ignore
16,https://apps.apple.com/bj/app/united-counties-league/id997689608,apple.com,IOS -  bj app united counties league id997689608,0,not_analysed (below threshold),,,mostly_dofollow,yes,low,https://www.footballparent.co.uk/coaching/football-team-spreadsheet,new_article_opportunity,yes,no,Ignore
16,https://www.grassroots-football.uk/partners/,grassroots-football.uk,Other Partners that support Grassroots Sport -  partners ,0,not_analysed (below threshold),,,mostly_dofollow,no,medium,https://www.footballparent.co.uk/girls-football/girls-academy-vs-grassroots-football,new_article_opportunity,yes,yes,Investigate domain acquisition
16,https://stratton-cofe-primary-school.primarysite.media/,primarysite.media,Stratton Videos -  ,2,not_analysed (below threshold),,,mostly_dofollow,yes,low,,new_article_opportunity,yes,no,Ignore
16,http://kbsbuildingcontractors.co.uk/index.html,kbsbuildingcontractors.co.uk, index.html,2,not_analysed (below threshold),,,mostly_dofollow,yes,low,,new_article_opportunity,yes,manual_check,Ignore
16,https://www.youthsporttrust.org/resources/inclusion/inclusion-2020-youth-voice-toolkit,youthsporttrust.org,Youth Sport Trust -  resources inclusion inclusion 2020 youth voice toolkit,2,not_analysed (below threshold),,,mostly_dofollow,yes,low,https://www.footballparent.co.uk/football-development/relative-age-effect-football,new_article_opportunity,yes,no,Ignore
16,https://www.sportenglandclubmatters.com/participant-development/reaching-different-audiences/ethnically-diverse-communities/,sportenglandclubmatters.com,Sport England Club Matters -  participant development reaching different audiences ethnically diverse communities ,2,not_analysed (below threshold),,,mostly_dofollow,yes,low,https://www.footballparent.co.uk/academy-pathway/can-academy-players-play-grassroots-football,new_article_opportunity,yes,yes,Investigate domain acquisition
16,https://reading-rdg.place-advisor.co.uk/istanbul-food-centre/,place-advisor.co.uk, istanbul food centre ,2,not_analysed (below threshold),,,mostly_dofollow,yes,low,https://www.footballparent.co.uk/academy-trials/what-happens-at-academy-trials,new_article_opportunity,yes,no,Ignore
16,https://cars.suzuki.co.uk/dealers/wlmg/?CampaignCode=CMP-03769-K3J8&amp;source=ppc&amp;gclid=EAIaIQobChMIoqTq9MHo8QIVCO3tCh3AJAT9EAAYASAAEgKnYvD_BwE&amp;gclsrc=aw.ds,suzuki.co.uk, dealers wlmg ,0,not_analysed (below threshold),,,mostly_dofollow,yes,low,,new_article_opportunity,yes,no,Ignore
16,https://landing.braziliansoccerschools.co.uk/,braziliansoccerschools.co.uk,Become a franchisee -  ,1,not_analysed (below threshold),,,mostly_dofollow,yes,low,https://www.footballparent.co.uk/parent-guides/how-to-become-a-football-coach,new_article_opportunity,yes,yes,Investigate domain acquisition
16,http://www.literacytrust.org.uk/reading_the_game/resources/tom_palmer_resources,literacytrust.org.uk, reading the game resources tom palmer resources,3,3,anabelsblog.blogspot.com,https://tompalmer.co.uk/schools-librarians/literacy-resources/,mostly_dofollow,yes,low,https://www.footballparent.co.uk/girls-football/girls-rtcs-explained,new_article_opportunity,yes,no,Create replacement article then outreach
16,http://www.pendlecommunitynetwork.org.uk/,pendlecommunitynetwork.org.uk,Pendle Community Network -  ,4,4,pendle.net,http://www.nelsontowncouncil.gov.uk/Useful_Links_22075.aspx,mostly_dofollow,yes,low,,new_article_opportunity,yes,manual_check,Create replacement article then outreach
16,http://www.elascitt.com/,elascitt.com,http://www.elascitt.com/ -  ,4,4,curwen.newham.sch.uk,https://www.curwen.newham.sch.uk/,mostly_dofollow,yes,low,,new_article_opportunity,yes,manual_check,Create replacement article then outreach
15,https://schro.link/zrgqxq,schro.link, zrgqxq,0,not_analysed (below threshold),,,mostly_dofollow,yes,low,,new_article_opportunity,yes,no,Ignore
15,https://login.thefa.com/b2cthefa.onmicrosoft.com/b2c_1a_signup_signinmfaroles/oauth2/v2.0/authorize?client_id=94ec12b8-9670-487d-919b-da5e00512d5c&amp;scope=94ec12b8-9670-487d-919b-da5e00512d5c%20openid%20profile%20offline_access&amp;redirect_uri=https://clubs.thefa.com/&amp;client-request-id=0199e2e9-74b9-7f66-a572-066b9c161d86&amp;response_mode=fragment&amp;response_type=code&amp;x-client-SKU=msal.js.browser&amp;x-client-VER=3.14.0&amp;client_info=1&amp;code_challenge=Fm6G8qa5d8NkkG0bi1YeWFXeRcjwoB2Ncd41cQT2tU8&amp;code_challenge_method=S256&amp;nonce=0199e2e9-74bb-7cec-9284-7b71ec427172&amp;state=eyJpZCI6IjAxOTllMmU5LTc0YmEtNzVhZC04ZTc2LWFiNWEwMzQyNDQ5MiIsIm1ldGEiOnsiaW50ZXJhY3Rpb25UeXBlIjoicmVkaXJlY3QifX0=&amp;FAAppToken=CP,thefa.com, b2cthefa.onmicrosoft.com b2c 1a signup signinmfaroles oauth2 v2.0 authorize,0,not_analysed (below threshold),,,mostly_dofollow,yes,low,,new_article_opportunity,yes,yes,Investigate domain acquisition
15,https://www.scottishfa.co.uk/football-development/player-pathway/,scottishfa.co.uk,Scottish FA Player PathwayScotland&#x27;s player development framework -  football development player pathway ,1,not_analysed (below threshold),,,mostly_dofollow,yes,low,https://www.footballparent.co.uk/academy-pathway/fulham-fc-development-centre-guide,new_article_opportunity,yes,no,Ignore
15,https://mcp.community/,mcp.community, ,63,63,hoddesdontownfc.co.uk,https://www.nhmfframeworx.org.uk/provider/mcp-plus-ltd/,mostly_dofollow,yes,low,,not_relevant,no,manual_check,Ignore
15,https://mcdrainagesolutionsltd.co.uk/,mcdrainagesolutionsltd.co.uk, ,12,12,hoddesdontownfc.co.uk,https://www.hoddesdontownfc.co.uk/,mostly_dofollow,yes,low,,not_relevant,no,manual_check,Ignore
15,http://www.springboard.pro/,springboard.pro, ,12,12,cambournetownfc.org.uk,https://www.cambournetownfc.org.uk/,mostly_dofollow,yes,low,,not_relevant,no,yes,Investigate both acquisition and broken-link outreach
15,https://www.littleaqua.co.uk/,littleaqua.co.uk, ,24,24,cambournetownfc.org.uk,https://www.bearshare.org/prepare-your-kids-for-traveling/,mostly_dofollow,yes,low,,not_relevant,no,manual_check,Ignore
15,https://football.mitoo.co.uk/News.cfm?LeagueCode=SSEC2017&#038;NB=0,mitoo.co.uk, News.cfm,0,not_analysed (below threshold),,,mostly_dofollow,yes,low,,new_article_opportunity,yes,yes,Investigate domain acquisition
15,https://football.mitoo.co.uk/News.cfm?LeagueCode=SSEC2017&amp;NB=0,mitoo.co.uk,Surrey South East Combination -  News.cfm,0,not_analysed (below threshold),,,mostly_dofollow,yes,low,https://www.footballparent.co.uk/academy-pathway/crystal-palace-development-centre-guide,new_article_opportunity,yes,yes,Investigate domain acquisition
15,http://www.avonyl.co.uk/,avonyl.co.uk,http://www.avonyl.co.uk -  ,5,5,pucklechurch.org,http://www.pucklechurch.org/html/youth_football.html,mostly_nofollow,yes,low,,new_article_opportunity,yes,manual_check,Create replacement article then outreach
15,https://login.thefa.com/b2cthefa.onmicrosoft.com/b2c_1a_signup_signin_plyreg/oauth2/v2.0/authorize?client_id=71fbae14-8952-460b-bc96-d12524391890&#038;redirect_uri=https%3A%2F%2Fwholegame.thefa.com%2FIndividual%2FInvoice%2FSummary&#038;response_mode=form_post&#038;response_type=code%20id_token&#038;scope=openid&#038;state=OpenIdConnect.AuthenticationProperties%3DfI3DD6kRr9Yem5fM2H8Nq8jCxtxb72YbLSnoT-JyAXkDLKcUtjpnkTp9qhTYiEnJUrG_JEQnjfQpSTz6q4cs4212KkFfOIKSaYlneu7BrKjwqf-M6WaE8zkadpiIrf3tvHxfwx5T1MSug5E39hsdzdlwwIeHK4uHnzhYVOiFYusDl5LwYMVZjLyZlCZ-xRbuW1lEykpZ0EqlA1PshUCz9P-dYuI&#038;nonce=638171883759391566.NTljMWU5YzgtZjAyNy00ZDdlLWI1NzQtZGRmNTk1YzFmMTI5NzJlZWU0NWQtZWJhZS00MTlkLWEzNjAtZmRiYjQ4MzhlODNj&#038;FAAppToken=WGS&#038;x-client-SKU=ID_NET45&#038;x-client-ver=5.5.0.0,thefa.com, b2cthefa.onmicrosoft.com b2c 1a signup signin plyreg oauth2 v2.0 authorize,0,not_analysed (below threshold),,,mostly_dofollow,yes,low,,new_article_opportunity,yes,yes,Investigate domain acquisition
15,https://login.thefa.com/b2cthefa.onmicrosoft.com/b2c_1a_signup_signin_plyreg/oauth2/v2.0/authorize?client_id=71fbae14-8952-460b-bc96-d12524391890&amp;redirect_uri=https%3A%2F%2Fwholegame.thefa.com%2FIndividual%2FInvoice%2FSummary&amp;response_mode=form_post&amp;response_type=code%20id_token&amp;scope=openid&amp;state=OpenIdConnect.AuthenticationProperties%3DfI3DD6kRr9Yem5fM2H8Nq8jCxtxb72YbLSnoT-JyAXkDLKcUtjpnkTp9qhTYiEnJUrG_JEQnjfQpSTz6q4cs4212KkFfOIKSaYlneu7BrKjwqf-M6WaE8zkadpiIrf3tvHxfwx5T1MSug5E39hsdzdlwwIeHK4uHnzhYVOiFYusDl5LwYMVZjLyZlCZ-xRbuW1lEykpZ0EqlA1PshUCz9P-dYuI&amp;nonce=638171883759391566.NTljMWU5YzgtZjAyNy00ZDdlLWI1NzQtZGRmNTk1YzFmMTI5NzJlZWU0NWQtZWJhZS00MTlkLWEzNjAtZmRiYjQ4MzhlODNj&amp;FAAppToken=WGS&amp;x-client-SKU=ID_NET45&amp;x-client-ver=5.5.0.0,thefa.com,Whole Game System -  b2cthefa.onmicrosoft.com b2c 1a signup signin plyreg oauth2 v2.0 authorize,0,not_analysed (below threshold),,,mostly_dofollow,yes,low,https://www.footballparent.co.uk/girls-football/girls-rtcs-explained,new_article_opportunity,yes,yes,Investigate domain acquisition
15,https://fulltime-admin.thefa.com/b2c/signinLanding.html,thefa.com,FA Full-Time Admin System -  b2c signinLanding.html,1,not_analysed (below threshold),,,mostly_dofollow,yes,low,https://www.footballparent.co.uk/coaching/football-team-spreadsheet,new_article_opportunity,yes,yes,Investigate domain acquisition
