keyword,search_volume,position,etv,cpc,competition,intent,url,serp_features
hanham minor league,880,3,85.62,,0,informational,https://www.juniorgrassrootshub.com/leagues/hanham-minor-league,organic related_searches
woodspring junior league,880,3,85.62,,0,informational,https://www.juniorgrassrootshub.com/leagues/woodspring-junior-league,organic related_searches images
timperley league,880,4,57.99,,0,informational,https://www.juniorgrassrootshub.com/leagues/timperley-and-district-junior-football-league,organic related_searches images
mid wilts youth league,880,5,41.27,,0,informational,https://www.juniorgrassrootshub.com/leagues/mid-wilts-youth-football-league,organic related_searches images
west cumbria youth league,880,5,41.27,,0,informational,https://www.juniorgrassrootshub.com/leagues/west-cumbria-youth-league,organic people_also_ask related_searches images
hillfield afc,880,6,29.74,0.38999998569488525,0.03999999910593033,navigational,https://www.juniorgrassrootshub.com/clubs/hillfield-a-f-c,organic people_also_ask related_searches knowledge_graph google_reviews images
southampton youth league,880,6,29.74,,0,informational,https://www.juniorgrassrootshub.com/leagues/city-of-southampton-youth-football-league,organic related_searches
teesside junior football alliance,880,6,29.74,,0,informational,https://www.juniorgrassrootshub.com/leagues/teesside-junior-football-alliance-league,organic people_also_ask related_searches knowledge_graph google_reviews
level 1 football coaching,880,9,22.53,6.079999923706055,0.11999999731779099,informational,https://www.juniorgrassrootshub.com/guides/fa-coaching-badge-levels,ai_overview organic people_also_ask related_searches
teesside junior football alliance league,880,7,22.53,,0,informational,https://www.juniorgrassrootshub.com/leagues/teesside-junior-football-alliance-league,organic people_also_ask related_searches
charlemont playing fields,880,10,17.34,0.019999999552965164,0.019999999552965164,informational,https://www.juniorgrassrootshub.com/tournaments/bustleholme-fc-tournament-june-6-2026,knowledge_graph google_reviews organic images people_also_ask related_searches
doncaster and district junior football league,880,8,17.34,,0,informational,https://www.juniorgrassrootshub.com/leagues/doncaster-and-district-youth-football-league,organic related_searches knowledge_graph google_reviews
paisley johnstone and district,720,3,70.06,,0,navigational,https://www.juniorgrassrootshub.com/leagues/paisley-johnstone-and-district-youth-football-league,organic related_searches images
bristol saturday youth league,720,4,47.45,,0,informational,https://www.juniorgrassrootshub.com/leagues/bristol-saturday-youth-league,organic related_searches
derby city football league,720,5,33.77,,0,informational,https://www.juniorgrassrootshub.com/leagues/derby-city-football-league,organic related_searches images
horsham district youth league,720,5,33.77,,0,informational,https://www.juniorgrassrootshub.com/leagues/horsham-district-youth-league,organic related_searches
mid warwickshire league,720,5,33.77,,0,informational,https://www.juniorgrassrootshub.com/leagues/mid-warwickshire-football-league,organic related_searches images
walton kirkdale jfl,720,5,33.77,,0,navigational,https://www.juniorgrassrootshub.com/leagues/walton-and-kirkdale-junior-football-league,organic related_searches images
brighouse juniors,720,6,24.34,,0.019999999552965164,navigational,https://www.juniorgrassrootshub.com/clubs/brighouse-juniors,organic people_also_ask related_searches knowledge_graph google_reviews images
bristol youth saturday league,720,6,24.34,,0,informational,https://www.juniorgrassrootshub.com/leagues/bristol-saturday-youth-league,organic related_searches
bromley green fc ashford,720,6,24.34,0.10000000149011612,0.019999999552965164,informational,https://www.juniorgrassrootshub.com/clubs/bromley-green,organic related_searches knowledge_graph google_reviews images
horsham youth league,720,6,24.34,,0,informational,https://www.juniorgrassrootshub.com/leagues/horsham-district-youth-league,organic related_searches images
isle of wight league,720,6,24.34,,0,informational,https://www.juniorgrassrootshub.com/leagues/isle-of-wight-sunday-youth-league,organic related_searches
ayrshire youth football league,720,7,18.43,,0,informational,https://www.juniorgrassrootshub.com/leagues/ayrshire-youth-football-league,organic related_searches
central lancashire junior football league,720,7,18.43,,0,informational,https://www.juniorgrassrootshub.com/leagues/central-lancashire-junior-football-league,organic related_searches
football clubs in cornwall,720,12,18.43,,0,informational,https://www.juniorgrassrootshub.com/guides/finding-a-football-club-in-cornwall,ai_overview organic people_also_ask local_pack related_searches images
garforth junior league,720,7,18.43,,0,informational,https://www.juniorgrassrootshub.com/leagues/garforth-junior-football-league,organic related_searches images
paisley and johnstone district,720,7,18.43,,0,informational,https://www.juniorgrassrootshub.com/leagues/paisley-johnstone-and-district-youth-football-league,organic related_searches
walton and kirkdale jfl,720,7,18.43,,0,navigational,https://www.juniorgrassrootshub.com/leagues/walton-and-kirkdale-junior-football-league,organic related_searches
fife development league,720,9,14.18,,0,informational,https://www.juniorgrassrootshub.com/leagues/fife-football-development-league,organic related_searches images
hertfordshire football clubs,720,14,14.18,0.18000000715255737,0,informational,https://www.juniorgrassrootshub.com/hertfordshire-football,ai_overview organic find_results_on local_pack people_also_ask related_searches images
tamworth junior football league,590,2,95.58,,0,informational,https://www.juniorgrassrootshub.com/leagues/tamworth-junior-football-league,organic related_searches knowledge_graph google_reviews
tamworth junior league,590,2,95.58,,0,informational,https://www.juniorgrassrootshub.com/leagues/tamworth-junior-football-league,organic people_also_ask related_searches knowledge_graph google_reviews images
paisley and district,590,3,57.41,,0,navigational,https://www.juniorgrassrootshub.com/leagues/paisley-johnstone-and-district-youth-football-league,organic related_searches
poulton and district primary league,590,3,57.41,,0,informational,https://www.juniorgrassrootshub.com/leagues/poulton-and-district-primary-league,organic related_searches images
poulton district primary league,590,3,57.41,,0,informational,https://www.juniorgrassrootshub.com/leagues/poulton-and-district-primary-league,organic related_searches
ambassador league,590,5,27.67,,0,informational,https://www.juniorgrassrootshub.com/leagues/ambassador-evesham-football-league,organic related_searches images
enniskillen galaxy,590,5,27.67,,0,informational,https://www.juniorgrassrootshub.com/clubs/enniskillen-galaxy-u13-bkyl,organic related_searches images
heaton hawks,590,6,19.94,,0.019999999552965164,informational,https://www.juniorgrassrootshub.com/clubs/heaton-hawks-juniors,organic people_also_ask related_searches knowledge_graph google_reviews images
hertford town youth,590,6,19.94,,0.029999999329447746,navigational,https://www.juniorgrassrootshub.com/tournaments/hertford-town-youth-summer-tournament-2026,organic related_searches knowledge_graph google_reviews images
north bury league,590,6,19.94,,0,informational,https://www.juniorgrassrootshub.com/leagues/north-bury-junior-football-league,organic related_searches
thornwell football club,590,7,19.94,0.07999999821186066,0.029999999329447746,navigational,https://www.juniorgrassrootshub.com/clubs/thornwell-red-and-white,ai_overview organic related_searches knowledge_graph google_reviews images
north devon youth league,590,7,15.10,,0,informational,https://www.juniorgrassrootshub.com/leagues/north-devon-youth-league,organic related_searches images
paisley and district league,590,7,15.10,,0,navigational,https://www.juniorgrassrootshub.com/leagues/paisley-johnstone-and-district-youth-football-league,organic related_searches
tameside league,590,7,15.10,,0,informational,https://www.juniorgrassrootshub.com/leagues/tameside-football-league,organic related_searches
combe st nicholas fc,590,10,11.62,,0.009999999776482582,informational,https://www.juniorgrassrootshub.com/clubs/combe-st-nicholas-youth,knowledge_graph google_reviews organic related_searches images
fit2go,590,14,11.62,2.049999952316284,0.05000000074505806,navigational,https://www.juniorgrassrootshub.com/supporters/fit2go-clinic,organic find_results_on local_pack people_also_ask related_searches images
harrogate district junior football league,590,9,11.62,,0,informational,https://www.juniorgrassrootshub.com/leagues/harrogate-and-district-junior-football-league,organic ai_overview related_searches
north london youth league,480,2,77.76,,0,informational,https://www.juniorgrassrootshub.com/leagues/north-london-youth-football-league,organic related_searches images
paisley league,480,3,46.70,,0,informational,https://www.juniorgrassrootshub.com/leagues/paisley-johnstone-and-district-youth-football-league,organic related_searches images
salford district league,480,4,31.63,,0,informational,https://www.juniorgrassrootshub.com/leagues/salford-and-districts-football-league,organic people_also_ask related_searches google_reviews knowledge_graph images
testway league,480,4,31.63,,0,informational,https://www.juniorgrassrootshub.com/leagues/testway-youth-football-league,organic people_also_ask related_searches images
testway youth football league,480,4,31.63,,0,informational,https://www.juniorgrassrootshub.com/leagues/testway-youth-football-league,organic people_also_ask related_searches
blakelaw united football club,480,5,22.51,,0.05999999865889549,informational,https://www.juniorgrassrootshub.com/clubs/blakelaw-football-club,organic related_searches knowledge_graph google_reviews images
greenford celtic fc,480,7,22.51,,0,informational,https://www.juniorgrassrootshub.com/clubs/greenford-celtic-fc,organic images people_also_ask related_searches knowledge_graph google_reviews
greenford celtic football club,480,7,22.51,,0,informational,https://www.juniorgrassrootshub.com/clubs/greenford-celtic-fc,organic images people_also_ask related_searches knowledge_graph google_reviews
hull and district youth football league,480,5,22.51,,0,informational,https://www.juniorgrassrootshub.com/leagues/hull-and-district-youth-football-league,organic related_searches images
wallasey junior football league,480,5,22.51,,0,informational,https://www.juniorgrassrootshub.com/leagues/wallasey-junior-league,organic people_also_ask related_searches
weetabix youth league,480,5,22.51,,0,informational,https://www.juniorgrassrootshub.com/leagues/weetabix-youth-football-league,organic people_also_ask related_searches images
broomwood football club,480,6,16.22,,0.019999999552965164,navigational,https://www.juniorgrassrootshub.com/clubs/broomwood-fc,organic images related_searches knowledge_graph google_reviews
echo junior football league,480,7,16.22,,0,informational,https://www.juniorgrassrootshub.com/leagues/echo-junior-football-league,organic ai_overview related_searches images
tagit tullycarnet,480,7,16.22,,0,transactional,https://www.juniorgrassrootshub.com/clubs/tullycarnet-fc,organic video images related_searches
tandridge league fixtures,480,7,16.22,,0,informational,https://www.juniorgrassrootshub.com/leagues/tandridge-youth-football-league,organic people_also_ask related_searches
yeovil youth league,480,6,16.22,,0,informational,https://www.juniorgrassrootshub.com/leagues/yeovil-and-district-youth-league,organic related_searches images
amaranth fc,480,7,12.29,,0.019999999552965164,informational,https://www.juniorgrassrootshub.com/clubs/amaranth-crossgates-fc,organic related_searches knowledge_graph google_reviews images
amaranth football club,480,7,12.29,,0.019999999552965164,informational,https://www.juniorgrassrootshub.com/clubs/amaranth-crossgates-fc,organic related_searches knowledge_graph google_reviews
aylsham football club,480,7,12.29,,0,navigational,https://www.juniorgrassrootshub.com/clubs/aylsham-f-c-ltd,organic related_searches knowledge_graph google_reviews images
doncaster and district junior sunday league,480,7,12.29,,0,informational,https://www.juniorgrassrootshub.com/leagues/doncaster-and-district-youth-football-league,organic related_searches knowledge_graph google_reviews third_party_reviews images
greenford celtic,480,10,12.29,,0,informational,https://www.juniorgrassrootshub.com/clubs/greenford-celtic-fc,organic images people_also_ask related_searches knowledge_graph google_reviews
hackney marshes league,480,7,12.29,,0.009999999776482582,informational,https://www.juniorgrassrootshub.com/leagues/hackney-marshes-saturday-youth-football-league,organic related_searches images
herefordshire junior football league,480,7,12.29,,0,informational,https://www.juniorgrassrootshub.com/leagues/herefordshire-junior-football-league,organic related_searches
hucknall sports,480,10,12.29,,0,navigational,https://www.juniorgrassrootshub.com/clubs/hucknall-sports,find_results_on local_pack organic related_searches images
leicestershire foxes sunday league,480,7,12.29,,0,informational,https://www.juniorgrassrootshub.com/leagues/leicestershire-foxes-sunday-league,organic related_searches
tiny tekkers,480,7,12.29,,0,transactional,https://www.juniorgrassrootshub.com/coaches/tiny-tekkers,organic people_also_ask related_searches knowledge_graph google_reviews images
aylsham fc,480,9,9.46,,0,navigational,https://www.juniorgrassrootshub.com/clubs/aylsham-f-c-ltd,organic related_searches knowledge_graph google_reviews images
killyleagh yc,480,8,9.46,0.03999999910593033,0,navigational,https://www.juniorgrassrootshub.com/clubs/killyleagh-yc-fc,organic related_searches images
ambassador evesham football league,390,3,37.95,,0,informational,https://www.juniorgrassrootshub.com/leagues/ambassador-evesham-football-league,organic related_searches
woodspring league,390,3,37.95,,0,informational,https://www.juniorgrassrootshub.com/leagues/woodspring-junior-league,organic people_also_ask related_searches images
club academy scotland,390,5,25.70,,0,navigational,https://www.juniorgrassrootshub.com/academies/scottish-elite,organic ai_overview related_searches
north ayrshire soccer association,390,4,25.70,,0,informational,https://www.juniorgrassrootshub.com/leagues/north-ayrshire-soccer-association,organic related_searches
colchester and district league,390,5,18.29,,0,informational,https://www.juniorgrassrootshub.com/leagues/colchester-and-district-youth-league,organic people_also_ask related_searches
colchester district league,390,5,18.29,,0,informational,https://www.juniorgrassrootshub.com/leagues/colchester-and-district-youth-league,organic related_searches
leyton orient academy,390,8,18.29,2.8600001335144043,0.019999999552965164,navigational,https://www.juniorgrassrootshub.com/academies/leyton-orient-youth-academy,organic ai_overview twitter people_also_ask related_searches images
mid cheshire league football,390,6,18.29,,0,informational,https://www.juniorgrassrootshub.com/leagues/mid-cheshire-youth-football-league,organic ai_overview related_searches knowledge_graph
north london league,390,6,18.29,0.38999998569488525,0.019999999552965164,informational,https://www.juniorgrassrootshub.com/leagues/north-london-youth-football-league,organic ai_overview related_searches images
avon youth league u15,390,6,13.18,,0,informational,https://www.juniorgrassrootshub.com/leagues/avon-youth-league,organic related_searches
colin valley fc,390,6,13.18,,0,informational,https://www.juniorgrassrootshub.com/clubs/colin-valley,organic related_searches google_reviews knowledge_graph images
saintfield united,390,7,13.18,,0,informational,https://www.juniorgrassrootshub.com/clubs/saintfield-united-fc,organic perspectives related_searches knowledge_graph google_reviews images
accrington and district junior football league,390,8,9.98,,0,informational,https://www.juniorgrassrootshub.com/leagues/accrington-and-district-junior-football-league,organic ai_overview related_searches images
kislingbury football club,390,7,9.98,2.109999895095825,0.03999999910593033,informational,https://www.juniorgrassrootshub.com/clubs/kislingbury-fc,organic related_searches knowledge_graph google_reviews third_party_reviews images
leyton orient fc academy,390,10,9.98,2.8600001335144043,0.019999999552965164,informational,https://www.juniorgrassrootshub.com/academies/leyton-orient-youth-academy,ai_overview organic people_also_ask twitter related_searches images
merseyside youth football league,390,7,9.98,,0,informational,https://www.juniorgrassrootshub.com/leagues/merseyside-youth-football-league,organic related_searches images
mid solent youth football league,390,7,9.98,,0,informational,https://www.juniorgrassrootshub.com/leagues/mid-solent-youth-football-league,organic people_also_ask related_searches images
saintfield united fc,390,8,9.98,,0,informational,https://www.juniorgrassrootshub.com/clubs/saintfield-united-fc,organic perspectives related_searches
saywell football,390,7,9.98,,0,informational,https://www.juniorgrassrootshub.com/tournaments/saywell-international-youth-football-tournament-may-17-2026,organic related_searches
staplegrove youth football club,390,7,9.98,1.2100000381469727,0.009999999776482582,navigational,https://www.juniorgrassrootshub.com/clubs/staplegrove-youth,organic related_searches knowledge_graph google_reviews
woodhall spa fc,390,8,9.98,,0.019999999552965164,navigational,https://www.juniorgrassrootshub.com/clubs/woodhall-spa-united,organic people_also_ask related_searches knowledge_graph google_reviews images
woodhall spa football club,390,8,9.98,,0.019999999552965164,navigational,https://www.juniorgrassrootshub.com/clubs/woodhall-spa-united,organic people_also_ask related_searches knowledge_graph google_reviews images
writtle minors football club,390,9,9.98,,0.05000000074505806,informational,https://www.juniorgrassrootshub.com/clubs/writtle-minors-y,organic images related_searches knowledge_graph google_reviews third_party_reviews
accrington district junior football league,390,8,7.68,,0,informational,https://www.juniorgrassrootshub.com/leagues/accrington-and-district-junior-football-league,organic related_searches
afc wembley,390,10,7.68,,0.019999999552965164,informational,https://www.juniorgrassrootshub.com/clubs/afc-wembley,organic people_also_ask related_searches knowledge_graph google_reviews images
craven league junior football,390,8,7.68,,0,informational,https://www.juniorgrassrootshub.com/leagues/craven-minor-junior-football-league,organic related_searches
grassroots north wales,390,10,7.68,,0,informational,https://www.juniorgrassrootshub.com/north-west-coast-football,organic twitter related_searches
knaresborough celtic football club,390,10,7.68,1.0299999713897705,0.019999999552965164,informational,https://www.juniorgrassrootshub.com/clubs/knaresborough-celtic-jfc,organic people_also_ask related_searches knowledge_graph google_reviews
mid cheshire youth football league,320,3,31.14,,0,informational,https://www.juniorgrassrootshub.com/leagues/mid-cheshire-youth-football-league,organic people_also_ask images related_searches
halewood and merseyside jfl,320,4,21.09,,0,navigational,https://www.juniorgrassrootshub.com/leagues/merseyside-and-halewood-jfl,organic people_also_ask related_searches
faversham district youth league,320,5,15.01,,0,informational,https://www.juniorgrassrootshub.com/leagues/faversham-and-district-youth-league,organic related_searches
football tournament near me,320,6,15.01,1.6200000047683716,0.05000000074505806,informational,https://www.juniorgrassrootshub.com/tournaments,ai_overview organic related_searches
lancaster and morecambe service to youth league,320,5,15.01,,0,navigational,https://www.juniorgrassrootshub.com/leagues/lancaster-and-morecambe-service-to-youth-league,organic related_searches
merseyside and halewood jfl,320,5,15.01,,0,informational,https://www.juniorgrassrootshub.com/leagues/merseyside-and-halewood-jfl,organic people_also_ask related_searches
ballyvea fc,320,7,10.82,,0,informational,https://www.juniorgrassrootshub.com/clubs/ballyvea-fc,organic images short_videos people_also_ask related_searches knowledge_graph google_reviews
harrogate and district football league,320,6,10.82,,0,informational,https://www.juniorgrassrootshub.com/leagues/harrogate-and-district-junior-football-league,organic related_searches images
mid warwickshire youth league,320,6,10.82,,0,informational,https://www.juniorgrassrootshub.com/leagues/mid-warwickshire-football-league,organic related_searches
strathroy harps,320,7,10.82,,0,informational,https://www.juniorgrassrootshub.com/clubs/strathroy-harps-a,organic video related_searches knowledge_graph google_reviews images
timperley and district,320,7,10.82,,0,informational,https://www.juniorgrassrootshub.com/leagues/timperley-and-district-junior-football-league,organic ai_overview related_searches images
